file	origin	licence	redistributable	category	kind	verdict	pieces	distinct_prefabs	footprint	top_tier	missing_pct	portals	stations	ih_discarded_rows	creator	role	fit
instairtower_damaged.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	165	15	9.5x9.5x11.0	blackforest	0.0	0	0	0	Raimod	the same tower, battle-damaged	roadside decay; abandoned-outpost storytelling
instairtower_rebuilt.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	outpost	module	PLACES_CLEAN	255	28	11.5x9.5x12.0	blackforest	0.0	0	0	0	Raimod	the same tower, patched and reinforced	Black Forest watch line, 'repaired' variant
instairtower_remnant.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	30	6	6.0x9.5x4.1	blackforest	0.0	0	0	0	Raimod	foundation stub only, 30 pieces	the cheapest ruin stamp in the library
instairtower_reruined.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	87	18	9.5x9.0x9.0	blackforest	0.0	0	0	0	Raimod	the same ruin, further collapsed, 87 pieces	ruins scatter, Black Forest
instairtower_ruin.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	96	8	9.0x9.0x10.0	blackforest	0.0	0	0	0	Raimod	the same tower as a ruin, 96 pieces	ruins scatter, Black Forest
outposttower.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	outpost	module	PLACES_CLEAN	212	23	11.2x10.5x10.0	blackforest	0.0	0	0	0	Raimod	square outpost watchtower, 11 x 11 x 10 m, 212 pieces	Black Forest / Swamp watch line
outposttower_burnt.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	114	6	11.8x11.8x5.5	blackforest	0.0	0	0	0	Raimod	the same tower, burnt out, 114 pieces	raided-outpost storytelling
outposttower_remnant.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	73	7	10.5x9.0x5.5	blackforest	0.0	0	0	0	Raimod	footprint stub only, 73 pieces	ruins scatter
outposttower_ruins.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	115	18	11.0x10.5x10.0	blackforest	0.0	0	0	0	Raimod	the same tower as a ruin, 115 pieces	ruins scatter
pillartower.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	outpost	module	PLACES_CLEAN	199	25	13.0x8.0x10.0	blackforest	0.0	0	0	0	Raimod	pillar-and-platform lookout, 13 x 8 x 10 m, 199 pieces	coastal or ridge lookout
pillartower_remnant.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	29	7	12.5x7.0x4.5	blackforest	0.0	0	0	0	Raimod	pillar stubs only, 29 pieces	ruins scatter -- smallest stamp in the library
pillartower_ruins.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	111	19	13.0x8.0x10.0	blackforest	0.0	0	0	0	Raimod	the same lookout as a ruin, 111 pieces	ruins scatter
twotwohouse.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	base	module	PLACES_CLEAN	273	19	12.8x14.1x7.1	meadows	0.0	0	0	0	Raimod	two-by-two cottage, 13 x 14 x 7 m, 273 pieces	Meadows village filler; pure tier-1
twotwohouse_remnant.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	70	11	8.0x14.0x3.0	meadows	0.0	0	0	0	Raimod	floor plate only, 70 pieces	ruins scatter
twotwohouse_ruins.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	148	12	9.4x14.1x4.1	meadows	0.0	0	0	0	Raimod	the same cottage as a ruin, 148 pieces	ruins scatter
twotwohouse_stormed.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	205	13	11.5x14.1x4.1	meadows	0.0	0	0	0	Raimod	the same cottage, roof torn off, 205 pieces	raided-village storytelling
BlackForestRaiderTown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	903	43	80.4x80.4x11.3	blackforest	0.0	0	5	187	SiR RuStY SpOoN	raider camp, 80 x 80 m, 903 pieces	Black Forest hostile camp
MeadowRaiderTown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	906	44	75.1x77.3x37.9	blackforest	0.0	0	2	73	SiR RuStY SpOoN	raider camp, 75 x 77 m, 906 pieces	Meadows hostile camp
MeadowSettlerTown1.blueprint	RustyMods/VikingNPC	none stated	no	flavour	setpiece	PLACES_CLEAN	387	28	46.6x52.8x6.0	meadows	0.0	0	0	49	SiR RuStY SpOoN	whole settler village, 47 x 53 m, 387 pieces	Meadows -- a populated-looking hamlet in one stamp
MeadowSettlerTown2.blueprint	RustyMods/VikingNPC	none stated	no	flavour	setpiece	PLACES_CLEAN	997	26	30.6x29.5x11.0	meadows	0.0	0	0	8	SiR RuStY SpOoN	denser settler village, 31 x 30 m, 997 pieces	Meadows hamlet
MistlandRaiderTown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	527	65	41.4x51.3x14.1	mistlands	0.0	0	8	43	SiR RuStY SpOoN	raider camp, 41 x 51 m, 527 pieces, 65 prefabs	Mistlands hostile camp
MountainRaiderTown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	1018	32	63.4x64.6x19.5	blackforest	0.0	0	0	6	SiR RuStY SpOoN	raider camp, 63 x 65 m, 1018 pieces	Mountain hostile camp
PlainsRaiderTower1.blueprint	RustyMods/VikingNPC	none stated	no	outpost	module	PLACES_CLEAN	584	22	20.4x24.9x22.8	mistlands	0.0	0	0	4	SiR RuStY SpOoN	raider watchtower, 20 x 25 x 23 m, 584 pieces	Plains watch line
PlainsRaiderTown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	1591	60	78.7x89.1x12.5	swamp	0.0	0	0	93	SiR RuStY SpOoN	raider camp, 79 x 89 m, 1591 pieces	Plains hostile camp
RuinedTower.blueprint	RustyMods/VikingNPC	none stated	no	flavour	module	PLACES_CLEAN	122	9	8.8x9.0x11.5	blackforest	0.0	0	0	0	SiR RuStY SpOoN	ruined tower, 9 x 9 x 12 m, 122 pieces, 9 prefabs	Black Forest ruins scatter -- excellent repeat stamp
SettlerRuins_Ashlands1.blueprint	RustyMods/VikingNPC	none stated	no	flavour	module	PLACES_CLEAN	59	12	22.5x16.3x16.9	meadows	0.0	0	0	0	SiR RuStY SpOoN	scattered ruins, 23 x 16 m, 59 pieces	Ashlands ruins scatter. top_tier reads meadows because its Ashlands content is world STATICS (Ashlands_*, FernAshlands), not craftable ashwood -- so it costs nothing to place and works as a ruin scatter in any biome
swamptown1.blueprint	RustyMods/VikingNPC	none stated	no	defence	setpiece	PLACES_CLEAN	733	42	55.2x53.2x15.5	meadows	0.0	0	1	0	GoRe-AdMiN	raider camp on stilts, 55 x 53 m, 733 pieces	Swamp hostile camp
Meadow_Ruins.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	755	18	34.0x38.3x23.3	mistlands	0.13	0	0	0	Oosdevforty	meadow ruin field, 34 x 38 x 23 m, 755 pieces, 18 prefabs	Meadows ruins landmark
POISWAMPCASTLERUINS.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_CLEAN	1036	23	45.2x44.8x15.3	mistlands	0.0	0	0	0	Oosdevforty	ruined swamp castle, 45 x 45 x 15 m, 1036 pieces	Swamp ruins landmark -- PLACES_CLEAN
boom-christianruins1.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_WITH_GAPS	359	17	23.5x24.0x8.3	swamp	0.28	0	0	0	Oosdevforty	ruined chapel, 24 x 24 x 8 m, 359 pieces	ruins landmark
brokkr-broken-bridge-1-short.blueprint	Oosquai/SavheimIV	none stated	no	bridge	module	PLACES_CLEAN	1418	12	46.5x45.9x20.0	blackforest	0.0	0	0	0	Brokkr	the same design at 47 m, 1418 pieces	Black Forest river crossing
brokkr-broken-bridge-1.blueprint	Oosquai/SavheimIV	none stated	no	bridge	setpiece	PLACES_CLEAN	2883	11	86.9x87.1x20.2	blackforest	0.0	0	0	0	Brokkr	broken bridge design 1, 87 m span, 2883 pieces, 11 prefabs	Black Forest gorge; 'ancient ruined crossing' look
brokkr-broken-bridge-2-short.blueprint	Oosquai/SavheimIV	none stated	no	bridge	module	PLACES_WITH_GAPS	1407	18	13.9x57.1x16.5	swamp	0.0	0	1	0	Oosdevforty	the same design at 57 m, 1407 pieces	Swamp crossing
brokkr-broken-bridge-2.blueprint	Oosquai/SavheimIV	none stated	no	bridge	setpiece	PLACES_WITH_GAPS	2468	16	45.0x94.1x17.6	swamp	0.08	0	0	0	Oosdevforty	broken bridge design 2, 94 m span, 2468 pieces	Swamp crossing
brokkr-broken-bridge-3-short.blueprint	Oosquai/SavheimIV	none stated	no	bridge	module	PLACES_CLEAN	1212	13	49.3x41.7x11.5	blackforest	0.0	0	0	0	Brokkr	the same design at 49 m, 1212 pieces	Black Forest crossing
brokkr-broken-bridge-3.blueprint	Oosquai/SavheimIV	none stated	no	bridge	setpiece	PLACES_CLEAN	1973	13	72.1x72.8x12.3	blackforest	0.0	0	0	0	Brokkr	broken bridge design 3, 73 m span, 1973 pieces	Black Forest crossing
brokkr-fort-torment-final-cut-sh.blueprint	Oosquai/SavheimIV	none stated	no	defence	setpiece	PLACES_CLEAN	8139	44	173.6x175.2x54.5	ashlands	0.0	0	0	0	Oosdevforty	fort, 174 x 175 x 55 m, 8139 pieces	Ashlands stronghold -- very large
brokkr-the-belmont.blueprint	Oosquai/SavheimIV	none stated	no	base	setpiece	PLACES_WITH_GAPS	4901	58	65.3x68.9x38.1	swamp	0.02	0	8	0	Oosdevforty	castle, 65 x 69 x 38 m, 4901 pieces, 8 stations	Swamp / Mountain showpiece
brokkr-the-cathedral.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_CLEAN	8269	57	87.2x91.7x61.2	mistlands	0.0	0	0	0	Oosdevfifty	cathedral; two divergent copies exist under this name -- SavheimIV 87 x 92 x 61 m, valheim_mod_sync 85 x 86 x 53 m	capital landmark. Both place clean; the SavheimIV copy is the larger of the two
brokkr-the-churn.blueprint	Oosquai/SavheimIV	none stated	no	production	setpiece	PLACES_CLEAN	4655	44	71.2x71.5x33.9	swamp	0.0	0	11	0	Oosdevforty	industrial keep, 71 x 72 x 34 m, 11 stations	Swamp production centre
brokkr-the-execution.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_CLEAN	3873	61	53.4x49.8x33.5	swamp	0.0	0	5	0	Oosdevforty	execution-yard keep, 53 x 50 x 34 m, 5 stations	grim landmark
brokkr-the-flabellum.blueprint	Oosquai/SavheimIV	none stated	no	base	setpiece	PLACES_CLEAN	5490	59	59.6x37.8x65.5	mistlands	0.0	0	13	0	Oosdevforty	tall keep, 60 x 38 x 66 m, 13 stations	Mistlands showpiece
brokkr-the-misery.blueprint	Oosquai/SavheimIV	none stated	no	base	setpiece	PLACES_CLEAN	5108	68	95.1x112.8x31.2	swamp	0.0	0	18	0	Oosdevforty	sprawling keep, 95 x 113 x 31 m, 18 stations	Swamp showpiece
brokkr-the-sacrifice.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_CLEAN	3081	73	78.3x76.8x35.6	mistlands	0.0	0	11	0	Oosdevforty	temple complex, 78 x 77 x 36 m, 11 stations	Mistlands landmark
floatingisland.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	340	28	37.0x40.5x96.6	mistlands	2.65	0	0	0	Oosdevforty	floating island, 37 x 41 x 97 m	rejected -- 2.65% of pieces unresolved
floatingisland_atgeir.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, atgeir variant	rejected -- 2.64% unresolved
floatingisland_axe.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, axe variant	rejected -- 2.64% unresolved
floatingisland_battleaxe.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, battleaxe variant	rejected -- 2.64% unresolved
floatingisland_greatsword.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, greatsword variant	rejected -- 2.64% unresolved
floatingisland_knife.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, knife variant	rejected -- 2.64% unresolved
floatingisland_mace.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, mace variant	rejected -- 2.64% unresolved
floatingisland_sledge.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, sledge variant	rejected -- 2.64% unresolved
floatingisland_staff.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, staff variant	rejected -- 2.64% unresolved
floatingisland_sword.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	UNUSABLE	341	28	38.9x41.1x96.6	mistlands	2.64	0	0	0	Oosdevfortysix	floating island, sword variant	rejected -- 2.64% unresolved
loki_ruins1.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	1693	40	37.6x34.6x30.4	mistlands	0.18	0	0	0	Oosdevforty	ruin complex, 38 x 35 x 30 m, 1693 pieces	Mistlands ruins landmark
loki_ruins2.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	1994	18	33.2x44.7x35.6	mistlands	0.35	0	0	0	Oosdevfortyone	ruin complex, 33 x 45 x 36 m, 1994 pieces	Mistlands ruins landmark
ruins_0.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_WITH_GAPS	549	7	12.7x17.8x34.9	blackforest	0.36	0	0	0	Oosdevforty	tower ruin, 13 x 18 x 35 m, 549 pieces, 7 prefabs	Black Forest ruins landmark
ruins_0_1.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_WITH_GAPS	85	4	9.4x9.4x11.1	mistlands	1.18	0	0	0	Oosdevforty	small ruin, 9 x 9 x 11 m, 85 pieces	ruins scatter
ruins_0_1_and_0_2_and_0_3.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_WITH_GAPS	360	8	25.1x19.3x11.5	mistlands	0.28	0	0	0	Oosdevforty	the three small ruins as one group, 360 pieces	ruins cluster
ruins_0_2.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_CLEAN	132	3	9.8x9.9x10.2	blackforest	0.0	0	0	0	Oosdevforty	small ruin, 10 x 10 x 10 m, 132 pieces, 3 prefabs	ruins scatter -- PLACES_CLEAN, ideal repeat stamp
ruins_0_3.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	PLACES_CLEAN	140	3	12.3x10.1x9.1	blackforest	0.0	0	0	0	Oosdevforty	small ruin, 12 x 10 x 9 m, 140 pieces, 3 prefabs	ruins scatter -- PLACES_CLEAN, ideal repeat stamp
ruins_0_and_0_1_and_0_2_and_0_3.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	910	13	31.1x31.2x34.9	mistlands	0.44	0	0	0	Oosdevforty	the whole ruins family as one group, 910 pieces	ruins cluster
ruins_0_and_0_2.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	681	7	22.8x28.1x34.9	blackforest	0.29	0	0	0	Oosdevforty	tower ruin plus one small ruin, 681 pieces	ruins cluster
ruins_0_and_0_2_and_0_3.blueprint	Oosquai/SavheimIV	none stated	no	flavour	setpiece	PLACES_WITH_GAPS	821	7	28.8x31.3x34.9	blackforest	0.24	0	0	0	Oosdevforty	tower ruin plus two small ruins, 821 pieces	ruins cluster
sh_firtree_light_black.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.2x7.5	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab, 50% unresolved
sh_firtree_light_blue.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.3x6.9	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
sh_firtree_light_green.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.4x0.1x7.4	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
sh_firtree_light_orange.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.3x7.4	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
sh_firtree_light_purple.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.3x7.4	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
sh_firtree_light_red.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.3x7.7	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
sh_firtree_light_yellow.blueprint	Oosquai/SavheimIV	none stated	no	flavour	module	UNUSABLE	2	2	0.3x0.2x7.6	meadows	50.0	0	0	0	Oosdevfortyone	2-piece coloured fir-tree light	rejected -- mod-only prefab
Hong_Marble_Telepyramid.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	portal	module	PLACES_CLEAN	396	21	19.8x19.8x15.0	ashlands	0.0	0	1	0	Hong	marble telepyramid, 20 x 20 x 15 m, 1 portal, 396 pieces	THE roadside portal shrine pattern -- one portal, small footprint, stamp everywhere
Hong_Marble_Telepyramid_(Shielded).blueprint	offsetkeyz/valheim_mod_sync	none stated	no	portal	module	PLACES_CLEAN	398	23	19.8x19.8x15.0	ashlands	0.0	0	1	0	Hong	the same pyramid with a ward, 398 pieces	roadside portal shrine, protected variant
brokkr-the-cathedral.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	flavour	setpiece	PLACES_CLEAN	8240	50	85.3x85.6x53.4	mistlands	0.0	1	0	0	Brokkr	cathedral; two divergent copies exist under this name -- SavheimIV 87 x 92 x 61 m, valheim_mod_sync 85 x 86 x 53 m	capital landmark. Both place clean; the SavheimIV copy is the larger of the two
nurr-portalpyramid02.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	portal	setpiece	PLACES_CLEAN	796	17	32.5x32.5x21.0	mistlands	0.0	8	0	0	Nurr	portal pyramid, 33 x 33 x 21 m, 8 portals, 796 pieces	secondary portal hub
salty-dick-bridge-curved-final.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	bridge	module	PLACES_CLEAN	1242	5	33.5x64.3x24.9	mistlands	0.0	0	0	0	Salty Dick	curved bridge, 34 x 64 x 25 m, 1242 pieces, only 5 prefabs	Mistlands-tier crossing; the curve suits a road bending round terrain
salty-dick-cottage-final.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	base	module	PLACES_CLEAN	877	47	25.7x23.1x16.0	mistlands	0.0	0	6	0	Salty Dick	cottage, 26 x 23 x 16 m, 877 pieces	BYTE-IDENTICAL to the fleet corpus copy -- this is the recovery source
salty-dick-portal-hub-final.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	portal	setpiece	PLACES_CLEAN	1043	20	28.2x28.1x15.0	mistlands	0.0	8	0	0	Salty Dick	portal hub, 28 x 28 x 15 m, 8 portals, 1043 pieces	central portal hub. teleportall is ON here, so a hub is worth far more than in vanilla
Пипкин_full_castle.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	base	setpiece	PLACES_CLEAN	32361	101	191.8x532.1x212.6	ashlands	0.0	0	0	0	Пипкин	castle, 192 x 532 x 213 m, 32361 pieces	reference only -- a 532 m footprint is not siteable
Пипкин_small_castle.blueprint	offsetkeyz/valheim_mod_sync	none stated	no	base	setpiece	PLACES_CLEAN	17628	78	87.1x74.6x97.3	ashlands	0.0	0	0	0	Пипкин	castle, 87 x 75 x 97 m, 17628 pieces	reference only
hs_ashlands_20999_valheimian.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	1244	128	16.3x22.0x15.0	ashlands	0.0	4	37	40	Архитектор	1244 pieces, 128 prefabs, 16.3x22.0x15.0 m, 37 stations, 1 beds, 4 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_adelaide.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	184	48	7.5x7.1x6.2	mistlands	0.0	0	10	21	MaCaron	184 pieces, 48 prefabs, 7.5x7.1x6.2 m, 10 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_admin_veseljko_cooking_hut.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	505	43	21.3x21.3x11.0	ashlands	0.0	0	18	45	Admin Veseljko	505 pieces, 43 prefabs, 21.3x21.3x11.0 m, 18 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_admin_veseljko_one_way_maze.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	4554	10	55.1x60.2x13.9	mistlands	0.0	0	0	178	Admin Veseljko	4554 pieces, 10 prefabs, 55.1x60.2x13.9 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_admin_veseljko_the_silent_enclave.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	4035	96	53.0x62.5x32.0	ashlands	0.0	0	36	166	Admin Veseljko	4035 pieces, 96 prefabs, 53.0x62.5x32.0 m, 36 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_arbby_sherma_6785.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	5942	13	43.5x45.8x54.8	ashlands	0.0	0	0	117	Cornboy	5942 pieces, 13 prefabs, 43.5x45.8x54.8 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_arkitek_grausten_tri_portal.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	module	PLACES_CLEAN	75	12	12.0x5.0x5.8	ashlands	0.0	3	0	20	Arkitek	75 pieces, 12 prefabs, 12.0x5.0x5.8 m, 0 stations, 0 beds, 3 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_armchair_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	10	3	0.7x0.7x1.2	ashlands	0.0	0	0	12	Bri Games	10 pieces, 3 prefabs, 0.7x0.7x1.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
