name	flat_pad_verdict	setting	intended_setting	floating_fraction	air_isolation_max_m	mean_air_m	max_air_m	relief_m	footprint_span_m	footprint_area_m2	pieces	stations	portals	beds	missing_pieces	verdict	category	kind	metadata	licence	origin
floatingisland_atgeir.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.176	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_axe.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.178	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_battleaxe.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.176	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_greatsword.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.177	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_knife.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.178	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_mace.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.177	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_sledge.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.176	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_staff.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.176	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland_sword.blueprint	DEFECT_on_land	needs_support	land	0.356	22.0	54.176	81.803	108.086	68.4	3596.0	341	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
ruins_0_and_0_2.blueprint	DEFECT_on_land	needs_support	land	0.366	11.66	3.316	5.123	9.087	31.0	448.0	681	0	0	0	2	PLACES_WITH_GAPS	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
floatingisland.blueprint	DEFECT_on_land	needs_support	land	0.37	21.63	54.442	81.803	108.086	69.2	3664.0	340	0	0	1	9	UNUSABLE	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
hs_ashlands_astrid_sinjesdo_viking_dumpling_paradise.blueprint	DEFECT_on_land	needs_support	land	0.419	36.0	4.67	9.8	58.801	88.6	3544.0	6164	32	1	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_wissman_hymir.blueprint	DEFECT_on_land	needs_support	land	0.439	14.56	2.432	11.309	14.154	74.1	2780.0	2670	24	1	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
god-shadowstone-fortress.blueprint	DEFECT_on_land	needs_support	land	0.446	42.94	4.942	24.653	33.802	140.1	7868.0	8283	25	3	15	0	PLACES_CLEAN	defence	setpiece	curated	none stated	fleet corpus
hs_ashlands_sheepshank_toxins_arena.blueprint	DEFECT_on_land	needs_support	land	0.464	10.0	2.975	10.05	12.05	36.7	1172.0	3233	3	1	8	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_l_le_de_bronze.blueprint	DEFECT_on_land	needs_support	land	0.487	12.0	4.649	15.089	22.083	61.2	1964.0	1978	40	7	4	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_arthur_manor_elver.blueprint	DEFECT_on_land	needs_support	land	0.49	6.32	4.035	16.599	66.588	36.9	768.0	2802	1	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_feathercapetower.blueprint	DEFECT_on_land	needs_support	land	0.493	10.0	12.519	55.113	56.114	17.7	284.0	1467	0	2	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
PlainsRaiderTower1.blueprint	DEFECT_on_land	needs_support	land	0.527	7.21	2.172	13.25	13.25	26.5	524.0	588	0	0	0	0	PLACES_CLEAN	outpost	module	curated	none stated	RustyMods/VikingNPC
hs_ashlands_monkey_dvergr_tavern.blueprint	DEFECT_on_land	needs_support	land	0.542	11.31	2.198	13.713	61.279	28.5	672.0	2063	11	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_birdseyetower.blueprint	DEFECT_on_land	needs_support	land	0.547	7.21	4.818	19.952	20.952	24.1	424.0	1098	0	2	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
ruins_0.blueprint	DEFECT_on_land	needs_support	land	0.551	10.0	2.182	7.109	12.659	20.1	276.0	549	0	0	0	2	PLACES_WITH_GAPS	flavour	module	curated	none stated	Oosquai/SavheimIV
hs_ashlands_sheepshank_chickencoop.blueprint	DEFECT_on_land	needs_support	land	0.555	8.0	5.545	14.263	15.263	24.3	440.0	1572	1	0	0	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_wissman_sondergaard.blueprint	DEFECT_on_land	needs_support	land	0.578	16.12	6.448	13.975	25.996	68.0	2116.0	2618	0	1	4	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
14464-Valheimian.blueprint	DEFECT_on_land	needs_support	land	0.586	12.0	4823.866	5037.732	10098.58	39.8	1324.0	2329	38	7	2	2	EXPLOIT/PLACES_WITH_GAPS	base	exploit	curated	none stated	fleet corpus
gnome_house.blueprint	DEFECT_on_land	needs_support	land	0.586	12.0	4823.866	5037.732	10098.58	39.8	1324.0	2329	38	7	2	2	EXPLOIT/PLACES_WITH_GAPS	base	exploit	curated	none stated	fleet corpus
hs_mistlands_sheepshank_lighthouse.blueprint	DEFECT_on_land	needs_support	land	0.589	12.65	1.636	3.121	4.366	41.4	876.0	2241	14	2	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
skybound.blueprint	DEFECT_on_land	needs_support	land	0.595	14.14	8.711	10.703	12.141	51.0	672.0	3702	13	3	1	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
Пипкин_full_castle.blueprint	DEFECT_on_land	needs_support	land	0.608	100.58	15.836	116.114	149.758	533.9	50156.0	32361	0	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	offsetkeyz/valheim_mod_sync
jaik-mistvale-keep.blueprint	DEFECT_on_land	needs_support	land	0.612	17.09	8.185	28.967	32.967	30.4	752.0	3472	12	1	7	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_plains_20037_valheimian.blueprint	DEFECT_on_land	needs_support	land	0.653	7.21	2.763	4.097	5.097	21.5	484.0	968	47	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_upgrade_house.blueprint	DEFECT_on_land	needs_support	land	0.659	14.42	2.853	10.232	55.678	49.8	1480.0	2603	33	1	2	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_hagrids_hut.blueprint	DEFECT_on_land	needs_support	land	0.688	8.94	4.938	9.757	48.841	18.6	256.0	1144	13	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_badmin_cake_of_valhalla.blueprint	DEFECT_on_land	needs_support	land	0.7	7.21	11.304	21.054	21.054	10.7	120.0	1898	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
brokkr-fort-torment-final-cut-sh.blueprint	DEFECT_on_land	needs_support	land	0.701	21.54	14.393	46.889	48.023	176.9	6748.0	8139	0	0	0	0	PLACES_CLEAN	defence	setpiece	curated	none stated	Oosquai/SavheimIV
hs_plains_gunbunny_blacksmith_house.blueprint	DEFECT_on_land	needs_support	land	0.707	20.0	2.14	6.084	7.084	31.5	656.0	1023	12	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_rime_flamereforeged.blueprint	DEFECT_on_land	needs_support	land	0.728	14.14	3.997	4.5	49.511	35.3	972.0	2272	7	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_arbby_sherma_6785.blueprint	DEFECT_on_land	needs_support	land	0.731	14.0	9.995	19.184	48.623	47.2	1784.0	5942	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
15643-Valheimian.blueprint	DEFECT_on_land	needs_support	land	0.738	22.09	1914.739	5015.146	10050.555	63.0	2676.0	5692	57	13	5	31	EXPLOIT/PLACES_WITH_GAPS	base	exploit	curated	none stated	fleet corpus
hs_ashlands_sheepshank_towerflat.blueprint	DEFECT_on_land	needs_support	land	0.738	50.12	60.166	72.051	111.929	80.6	2048.0	17596	70	10	1	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_fluffyvillagehousev2.blueprint	DEFECT_on_land	needs_support	land	0.754	10.2	6.799	20.104	21.162	34.3	844.0	2589	34	2	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_kaer_mor_boarv2.blueprint	DEFECT_on_land	needs_support	land	0.754	22.0	7.52	20.234	61.549	67.2	3224.0	6707	41	1	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_sheepshank_nickmansion.blueprint	DEFECT_on_land	needs_support	land	0.764	16.49	1.689	12.232	13.998	51.9	1812.0	3542	29	0	7	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_dana_libraryfinal.blueprint	DEFECT_on_land	needs_support	land	0.765	18.0	4.309	14.633	15.73	44.3	868.0	3829	13	5	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_admin_veseljko_the_silent_enclave.blueprint	DEFECT_on_land	needs_support	land	0.774	37.74	9.384	27.0	28.0	65.1	3404.0	4035	36	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_badmin_eaglebird.blueprint	DEFECT_on_land	needs_support	land	0.786	10.0	5.26	10.015	10.015	16.4	168.0	576	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_fishtrapbistrofinal.blueprint	DEFECT_on_land	needs_support	land	0.809	26.83	3.918	10.968	11.968	54.5	1720.0	3668	26	3	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_checkered_castle_with_lamps.blueprint	DEFECT_on_land	needs_support	land	0.832	16.12	3.579	21.722	68.15	78.4	2828.0	5795	38	15	2	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_amund_lilhouse.blueprint	DEFECT_on_land	needs_support	land	0.843	17.2	1.929	14.892	15.796	33.0	944.0	1063	7	1	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_rizzosretreatfinal.blueprint	DEFECT_on_land	needs_support	land	0.845	26.0	2.865	13.8	15.322	50.3	1216.0	2322	21	3	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_the_canary_house.blueprint	DEFECT_on_land	needs_support	land	0.85	24.17	2.106	7.079	49.265	54.1	1916.0	3764	41	5	8	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_wissman_straunvaig.blueprint	DEFECT_on_land	needs_support	land	0.851	21.63	3.345	14.052	59.632	70.4	2720.0	3664	25	1	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_moongoddess.blueprint	DEFECT_on_land	needs_support	land	0.857	16.0	8.564	22.301	22.301	25.1	168.0	2018	1	0	0	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_mistrock_peak.blueprint	DEFECT_on_land	needs_support	land	0.862	36.06	32.474	91.889	98.889	56.3	1244.0	3617	45	4	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_petalstronghold.blueprint	DEFECT_on_land	needs_support	land	0.864	30.46	1.694	8.486	55.85	65.2	3244.0	7112	65	3	7	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_sheepshank_wizardtower.blueprint	DEFECT_on_land	needs_support	land	0.875	40.0	4.24	44.833	45.923	92.3	1088.0	3425	28	10	1	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_thomashofredux.blueprint	DEFECT_on_land	needs_support	land	0.888	20.1	2.361	9.812	11.847	55.1	1464.0	3904	4	5	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_innandbistrov2.blueprint	DEFECT_on_land	needs_support	land	0.898	23.41	4.595	10.732	55.249	43.8	824.0	1149	8	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_enterpriseihv6.blueprint	DEFECT_on_land	needs_support	land	0.902	26.08	18.137	41.294	46.821	44.6	1640.0	10387	45	86	15	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_sheepshank_mangohall.blueprint	DEFECT_on_land	needs_support	land	0.91	20.88	3.116	13.395	13.894	46.0	1340.0	3503	19	3	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_builder_blacksmith.blueprint	DEFECT_on_land	needs_support	land	0.912	24.41	5.188	11.13	12.934	34.5	820.0	1445	17	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_sneglehus_1_1.blueprint	DEFECT_on_land	needs_support	land	0.916	24.74	1.894	2.104	2.234	53.3	2388.0	4305	38	18	6	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_suspicious_turnip1.blueprint	DEFECT_on_land	needs_support	land	0.925	8.49	3.017	5.52	5.52	17.7	320.0	1869	3	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_militarybarracks.blueprint	DEFECT_on_land	needs_support	land	0.939	27.78	2.074	15.467	18.859	72.7	1840.0	4738	36	3	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_magne_athelgard_cathedral.blueprint	DEFECT_on_land	needs_support	land	0.943	40.2	1.64	6.278	53.208	95.1	3700.0	17954	1	0	0	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_therefineryv2.blueprint	DEFECT_on_land	needs_support	land	0.946	42.94	2.568	4.559	6.559	54.6	1708.0	3823	43	16	2	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_badmin_fallen_angel.blueprint	DEFECT_on_land	needs_support	land	0.96	17.89	17.04	30.423	30.423	28.0	396.0	3221	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_dana_towersdestiny.blueprint	DEFECT_on_land	needs_support	land	0.982	76.66	9.875	17.202	18.872	92.7	5736.0	13491	42	11	15	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_eric_bloodaxe_prefab_large_fort.blueprint	DEFECT_on_land	needs_support	land	0.983	91.76	4.439	15.0	17.0	106.0	4228.0	4105	32	13	1	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_badmin_lox.blueprint	DEFECT_on_land	needs_support	land	0.984	28.28	9.557	23.181	23.181	27.3	504.0	1550	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_misttreehousev2.blueprint	DEFECT_on_land	needs_support	land	0.987	53.14	19.718	101.261	101.626	55.1	1256.0	2371	31	2	3	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sheepshank_villageskilodgecenter.blueprint	DEFECT_on_land	needs_support	land	0.988	90.09	19.128	50.344	53.344	96.0	4240.0	13311	93	9	12	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_badmin_valkyriecorrected.blueprint	DEFECT_on_land	needs_support	land	0.993	24.74	17.487	36.017	36.017	39.9	604.0	3079	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
long-bridge.blueprint	expected_over_water	needs_support	over_water	0.256	10.2	6.328	9.197	18.912	90.9	1064.0	814	0	0	0	0	PLACES_CLEAN	bridge	setpiece	curated	none stated	fleet corpus
brokkr-broken-bridge-2.blueprint	expected_over_water	needs_support	over_water	0.545	8.0	6.436	8.014	13.014	95.8	1424.0	2468	0	0	0	2	PLACES_WITH_GAPS	bridge	setpiece	curated	none stated	Oosquai/SavheimIV
brokkr-broken-bridge-3.blueprint	expected_over_water	needs_support	over_water	0.546	10.0	8.965	11.014	11.014	74.8	1400.0	1973	0	0	1	0	PLACES_CLEAN	bridge	setpiece	curated	none stated	Oosquai/SavheimIV
brokkr-broken-bridge-3-short.blueprint	expected_over_water	needs_support	over_water	0.556	7.21	9.178	11.014	11.014	51.2	856.0	1212	0	0	0	0	PLACES_CLEAN	bridge	module	curated	none stated	Oosquai/SavheimIV
brokkr-broken-bridge-1.blueprint	expected_over_water	needs_support	over_water	0.582	7.21	10.586	13.014	13.014	89.2	1760.0	2883	0	0	0	0	PLACES_CLEAN	bridge	setpiece	curated	none stated	Oosquai/SavheimIV
brokkr-broken-bridge-1-short.blueprint	expected_over_water	needs_support	over_water	0.584	8.25	11.003	13.014	13.014	48.4	904.0	1418	0	0	0	0	PLACES_CLEAN	bridge	module	curated	none stated	Oosquai/SavheimIV
brokkr-broken-bridge-2-short.blueprint	expected_over_water	needs_support	over_water	0.62	6.32	6.463	10.282	14.282	59.1	820.0	1407	1	0	0	0	PLACES_WITH_GAPS	bridge	module	curated	none stated	Oosquai/SavheimIV
dock.blueprint	expected_over_water	needs_support	over_water	0.701	13.42	6.082	20.787	23.787	44.5	1324.0	2036	0	0	0	0	PLACES_CLEAN	dock	setpiece	curated	none stated	fleet corpus
salty-dick-bridge-curved-final.blueprint	expected_over_water	needs_support	over_water	0.713	18.0	12.73	18.267	18.375	65.8	712.0	1242	0	0	0	0	PLACES_CLEAN	bridge	module	curated	none stated	offsetkeyz/valheim_mod_sync
PuP_house2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	6.946	13.7	176.0	302	0	0	0	0	PLACES_CLEAN	base	module	curated	none stated	fleet corpus
hs_ashlands_madzobuild_ashlandcamp.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.288	18.9	268.0	266	4	1	1	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_madzobuild_blackeitrrefinery.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.138	12.0	168.0	244	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
creator-looney-swamp-starter-home.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	8.045	17.8	252.0	218	12	0	2	0	PLACES_CLEAN	base	module	curated	none stated	fleet corpus
hs_blackforest_tester_meadows_log_cabin.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.93	17.0	240.0	207	11	1	2	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
PuP_house4.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	7.222	14.9	212.0	178	1	0	0	0	PLACES_CLEAN	base	module	curated	none stated	fleet corpus
PuP_house9.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.967	11.6	136.0	167	0	0	0	0	PLACES_CLEAN	base	module	curated	none stated	fleet corpus
Rocket Raccoon_Quick_House.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.967	11.2	156.0	157	2	0	2	0	PLACES_WITH_GAPS	base	module	derived	none stated	mcarvall/Midgard-Valheim-Server
hs_blackforest_aodi_quickrest_sleep_module.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.72	7.1	64.0	118	1	0	1	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_hobbit_repairhut.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.842	10.4	80.0	62	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_madzobuild_simpleeitrrefinery.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.065	8.9	80.0	59	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_spatub_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.118	4.9	64.0	54	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_kitchensink_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.009	4.6	32.0	52	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_arkitek_repair_shack.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.732	4.6	56.0	50	1	0	0	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
Rocket Raccoon_Beliche.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	3.1	16.0	6	0	0	2	0	PLACES_WITH_GAPS	base	module	derived	none stated	mcarvall/Midgard-Valheim-Server
PuP_black_house_full.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	59.453	81.6	3488.0	6262	55	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
brokkr-the-belmont.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	29.207	113.9	10720.0	4901	8	0	0	1	PLACES_WITH_GAPS	base	setpiece	curated	none stated	Oosquai/SavheimIV
PuP_Minicastle__556fd22e78ea.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	41.775	60.8	3004.0	3810	12	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_mistlands_sheepshank_trophytowerv2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	5.689	28.5	748.0	3577	1	1	0	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
PuP_Minicastle__dcbdd295f512.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	41.775	60.8	3004.0	3334	12	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
