name	nview	persistent	distant	ztype	piece	water_piece	no_in_water	ground_only	ground_piece	clip_ground	clip_everything	not_on_wood	not_on_tilting	not_on_floor	no_clipping	allow_alt_ground	comfort	space_req	category	piece_name	wnt	material	health	supports	no_support_wear	no_roof_wear	hit_noise	min_tool_tier	ship	ship_force	ship_disable_level	ship_water_offset	ship_impact_dmg	ship_ashlands_ready	ship_has_sail	floating	float_water_offset	rigidbody	rb_mass	rb_kinematic	container	container_slots
AmberPearl	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ancient_skull	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ancientbarkspear_projectile	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
AncientCoin	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
AncientGemstoneBlack	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
AncientGemstoneGreen	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
AncientGemstoneOrange	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
AncientGemstonePurple	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
AncientSeed	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
aoe_nova	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_blackmetal	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_bloodgold	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_bone	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_carapace	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_charred	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
arbalest_projectile_iron	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ArmorAshlandsMediumChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorAshlandsMediumlegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBerserkerChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBerserkerLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBerserkerUndeadChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBerserkerUndeadLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBronzeChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorBronzeLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorCarapaceChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorCarapaceLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthHeavyChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthHeavylegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthMageChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthMagelegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthMediumChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDeepNorthMediumlegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress1	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress10	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress2	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress3	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress4	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress5	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress6	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress7	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress8	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorDress9	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorFenringChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorFenringLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorFlametalChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorFlametalLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorGoldHeavyChestUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldHeavyHelmetUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldHeavyLegsUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMageChestUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMageHelmetUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMageLegsUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMediumChestUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMediumHelmetUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorGoldMediumLegsUncooked	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArmorHarvester1	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorHarvester2	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorIronChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorIronLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorLeatherChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorLeatherLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorLoxChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorLoxLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorMageChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorMageChest_Ashlands	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorMageLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorMageLegs_Ashlands	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorPaddedCuirass	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorPaddedGreaves	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorRagsChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorRagsLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorRootChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorRootLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorStand	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	4	$piece_armorstand	1	0	600	0	1	1	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ArmorStand_Female	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	4	$piece_armorstand	1	0	50	0	1	1	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ArmorStand_Male	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	4	$piece_armorstand_male	1	0	50	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ArmorTrollLeatherChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTrollLeatherLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic1	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic10	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic2	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic3	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic4	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic5	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic6	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic7	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic8	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorTunic9	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorWolfChest	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArmorWolfLegs	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	10	0	0	na
ArrowBloodGold	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowBronze	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowCarapace	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowCharred	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowFire	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowFlint	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowFrost	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowIron	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowNeedle	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowObsidian	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowPoison	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowSilver	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
ArrowWood	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
artisan_ext1	1	1	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0	2	1	$piece_artisan_ext1	1	0	100	0	1	1	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
AshCrow	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot1_green	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	40	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot1_red	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	40	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot2_green	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	50	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot2_red	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	50	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot3_green	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	30	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
ashland_pot3_red	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	30	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashland_Stair	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	5	1500	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashland_Steepstair	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	500	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Altar	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	1000	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Arch1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	$piece_stonewall1x1	1	6	2000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Arch2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	$piece_stonewall1x1	1	6	1000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Arch2_Broken1	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	666	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Arch2_Broken2	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	333	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_ArchRoof	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_ArchRoofDamaged	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	400	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_ArchRoofDamaged_half1	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	1000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_ArchRoofDamaged_half2	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	0	1000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_ArchRoofLong_Damaged	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	1000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Boss_Pillar	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	4000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Boss_Pillar_Twist_broken1	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	3000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Boss_Pillar_Twist_broken2	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	2000	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Boss_Pillar_Twist_broken3	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	1000	0	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_Floor	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	1	6	333	1	1	0	0	0	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_floor_large	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Ashlands_floor_large_fractured	1	1	0	2	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
