file	format	creator	verdict	payload	pieces	distinct_prefabs	missing_pct	loot_objects	creature_objects	bytes	sha256	licence	source
BjOrN_blueprint001.blueprint	blueprint	BjOrN	PLACES_WITH_GAPS	base	1908	61	0.05	0	0	186313	020d4a2a64a8e7953ea54b5aea6c3e72fd1f554a39ae34dd9a62d5e20e364690	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/BjOrN_blueprint001.blueprint
BjOrN_blueprint001.blueprint	blueprint	BjOrN	PLACES_WITH_GAPS	base	1908	61	0.05	0	0	186313	020d4a2a64a8e7953ea54b5aea6c3e72fd1f554a39ae34dd9a62d5e20e364690	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/BjOrN_blueprint001.blueprint
Black_Viking_forteca_starting_base.blueprint	blueprint	Enslaver	PLACES_WITH_GAPS	base	2610	41	0.8	0	0	242661	5967d55ef012799eb55a82925973452c63d243c0c387489b16b3386bb4c67741	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Black_Viking_forteca_starting_base.blueprint
bridge.vbuild	vbuild		PLACES_CLEAN	base	873	18	0.0	0	0	49563	d5da48288ae74847ca37e3c4c128b4ed83a3da6c5fef7779a3ca59e48679b81f	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/bridge.vbuild
citadel.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	33655	43	0.0	0	0	3177629	830c1a483b8c0006dd3149b0ac2d078a3ecc9d0bc5862bee846fef6046e144c6	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/citadel.blueprint
citadel.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	33655	43	0.0	0	0	3177629	830c1a483b8c0006dd3149b0ac2d078a3ecc9d0bc5862bee846fef6046e144c6	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/citadel.blueprint
cozy_house.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	6034	104	0.0	0	0	546483	2e61bf0d2586b89003945c0f662dd9be6c2aee3665ea0b40530defec6be76e7b	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/cozy_house.blueprint
cozy_house.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	6034	104	0.0	0	0	546483	2e61bf0d2586b89003945c0f662dd9be6c2aee3665ea0b40530defec6be76e7b	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/cozy_house.blueprint
creator-looney-swamp-starter-home.blueprint	blueprint	Creator	PLACES_CLEAN	base	218	39	0.0	0	0	17783	6421f91354f582b48879b36794680e74e54b4b874dfc6e2182dae80044c09d39	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/creator-looney-swamp-starter-home.blueprint
creator-looney-swamp-starter-home.blueprint	blueprint	Creator	PLACES_CLEAN	base	218	39	0.0	0	0	17783	6421f91354f582b48879b36794680e74e54b4b874dfc6e2182dae80044c09d39	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/creator-looney-swamp-starter-home.blueprint
deardly-casa-drly.blueprint	blueprint	Deardly	PLACES_CLEAN	base	1901	129	0.0	0	0	218734	215e53145d53ed09bb240aa99d67f714360a9d502bb2842dbaeb2a57a4eb5f70	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/deardly-casa-drly.blueprint
deardly-casa-drly.blueprint	blueprint	Deardly	PLACES_CLEAN	base	1901	129	0.0	0	0	218734	215e53145d53ed09bb240aa99d67f714360a9d502bb2842dbaeb2a57a4eb5f70	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/deardly-casa-drly.blueprint
dock.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	2036	49	0.0	0	0	176083	4157326c69a0157df45f96bbcf1c56c6e85fd81e66020006171cdb9ef79de9b9	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/dock.blueprint
dock.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	2036	49	0.0	0	0	176083	4157326c69a0157df45f96bbcf1c56c6e85fd81e66020006171cdb9ef79de9b9	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/dock.blueprint
drake-lighthouse.blueprint	blueprint	Drake	PLACES_CLEAN	base	1255	24	0.0	0	0	95347	8f531ce29c330c7bc8d367047c2bfcde31bfb5afa42f499cdedc3f4c3eee2fac	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/drake-lighthouse.blueprint
drake-lighthouse.blueprint	blueprint	Drake	PLACES_CLEAN	base	1255	24	0.0	0	0	95347	8f531ce29c330c7bc8d367047c2bfcde31bfb5afa42f499cdedc3f4c3eee2fac	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/drake-lighthouse.blueprint
forge (copy 1).blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	2968	88	0.0	0	0	325146	9e535f87511097bd8ee4c2d9747cedb84c74a152caf47244bbb0c8298d9aa852	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/forge (copy 1).blueprint
forge.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	2968	88	0.0	0	0	325146	9e535f87511097bd8ee4c2d9747cedb84c74a152caf47244bbb0c8298d9aa852	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/forge.blueprint
forge.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	2968	88	0.0	0	0	325146	9e535f87511097bd8ee4c2d9747cedb84c74a152caf47244bbb0c8298d9aa852	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/forge.blueprint
fortress.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	10626	103	0.0	0	0	1069601	27d720f73eb4c097fdf3bdac693b863ac300a6f586d46474c327af9476066ff6	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/fortress.blueprint
fox-0123456.blueprint	blueprint	Fox-	PLACES_CLEAN	base	1229	58	0.0	0	0	107933	d60ae0e4f99243dad3c03017e3bc9082f6fd51ebe54350e7e29cf9879ca44d35	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/fox-0123456.blueprint
fox-0123456.blueprint	blueprint	Fox-	PLACES_CLEAN	base	1229	58	0.0	0	0	107933	d60ae0e4f99243dad3c03017e3bc9082f6fd51ebe54350e7e29cf9879ca44d35	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/fox-0123456.blueprint
gnome_house.blueprint	blueprint		PLACES_WITH_GAPS	exploit	2330	101	0.09	491	0	339241	3a1c4e7696d6dffc2a02c7b88ee29d5a0c40615f81e2d3ea64a724126b32bb49	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/gnome_house.blueprint
god-2.blueprint	blueprint	God	PLACES_CLEAN	base	702	22	0.0	0	0	66030	b2b84fc6d0d3a6c72784ec0c1fb6ed76602c492c5ea25b3165fe66af3a32028a	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-2.blueprint
god-22.blueprint	blueprint	God	PLACES_CLEAN	base	836	24	0.0	0	0	78490	d0a10377feb5cda703495de669b40fa5b795f3016a2eaf66cae6a4fe8ec5020c	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-22.blueprint
god-3.blueprint	blueprint	God	PLACES_CLEAN	base	1518	21	0.0	0	0	130786	468705130f4c8e3b9f9d3f64afb1dd00fa5dfb4992653dfb0e973b4af23f9b7f	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-3.blueprint
god-house33.blueprint	blueprint	God	PLACES_CLEAN	base	2950	81	0.0	0	0	250093	faaabde377f240b2241289a564c884d3ca5e77f3a91431878cde2f299dd29e30	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/god-house33.blueprint
god-house33.blueprint	blueprint	God	PLACES_CLEAN	base	2950	81	0.0	0	0	250093	faaabde377f240b2241289a564c884d3ca5e77f3a91431878cde2f299dd29e30	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-house33.blueprint
god-o.blueprint	blueprint	God	PLACES_CLEAN	base	194	7	0.0	0	0	17145	32d0e66701e599c64749dde931d9cbc02b2f79d2b50fcf4df7e8beb71223521e	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-o.blueprint
god-ponte-plus.blueprint	blueprint	God	PLACES_CLEAN	base	883	8	0.0	0	0	84474	78156965204d6b26f833173c624916f326e5443df8d4b820625b3883e1060450	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/god-ponte-plus.blueprint
god-ponte-plus.blueprint	blueprint	God	PLACES_CLEAN	base	883	8	0.0	0	0	84474	78156965204d6b26f833173c624916f326e5443df8d4b820625b3883e1060450	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-ponte-plus.blueprint
god-portaaoo.blueprint	blueprint	God	PLACES_CLEAN	base	2191	28	0.0	0	0	198715	e249c441d846199c05c6bdba5c74213c4aeedb30a8c94d5622a777f01bc3e154	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-portaaoo.blueprint
god-shadowstone-fortress.blueprint	blueprint	God	PLACES_CLEAN	base	8284	87	0.0	0	0	732892	2eeb5128b725b0f4d877217c8e089179a9066654b27d7ededf16809a54b56731	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-shadowstone-fortress.blueprint
god-test.blueprint	blueprint	God	PLACES_CLEAN	base	3356	29	0.0	0	0	276596	c7ae43b206fb896917002f6fdb38bb1c2950ab9e63b6cf2864568e66c978b88a	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/god-test.blueprint
gold_castle.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	18036	57	0.0	0	0	1764543	7bbf7a878cf577e273230e1f05e548a541c97b2c20200e6997f0ed5b9ed3023b	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/gold_castle.blueprint
gold_castle.blueprint	blueprint	Пипкин	PLACES_CLEAN	base	18036	57	0.0	0	0	1764543	7bbf7a878cf577e273230e1f05e548a541c97b2c20200e6997f0ed5b9ed3023b	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/gold_castle.blueprint
halvar-master-refinery.blueprint	blueprint	Halvar	PLACES_CLEAN	base	917	51	0.0	0	0	81984	a9c75a2d4b20ef99d5329c6e744bc4fd0662c55cc904d940b5b0d2a9a3248024	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/halvar-master-refinery.blueprint
hiccup-simplewoodbeambridge.blueprint	blueprint	Hiccup	PLACES_CLEAN	base	196	13	0.0	0	0	15522	1f036ca2632e461b2791bf1e89943dc6a048a5bc8b093368fd176883e59cd5b0	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/hiccup-simplewoodbeambridge.blueprint
hiccup-simplewoodbeambridge.blueprint	blueprint	Hiccup	PLACES_CLEAN	base	196	13	0.0	0	0	15522	1f036ca2632e461b2791bf1e89943dc6a048a5bc8b093368fd176883e59cd5b0	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/hiccup-simplewoodbeambridge.blueprint
jaik-mistvale-keep.blueprint	blueprint	Jaik	PLACES_CLEAN	base	3472	75	0.0	0	0	313862	7379cb5afc27e6e1f6951acdadfdf7dba782012ee0e25afd2228b55410fc3af0	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/jaik-mistvale-keep.blueprint
jaik-mistvale-keep.blueprint	blueprint	Jaik	PLACES_CLEAN	base	3472	75	0.0	0	0	313862	7379cb5afc27e6e1f6951acdadfdf7dba782012ee0e25afd2228b55410fc3af0	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/jaik-mistvale-keep.blueprint
long-bridge.blueprint	blueprint	Cooties	PLACES_CLEAN	base	814	14	0.0	0	0	121430	7626ec0673191fab3322d1ef86bd43b113c55252651f2c0198e07ee980ebe948	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/long-bridge.blueprint
long-bridge.blueprint	blueprint	Cooties	PLACES_CLEAN	base	814	14	0.0	0	0	121430	7626ec0673191fab3322d1ef86bd43b113c55252651f2c0198e07ee980ebe948	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/long-bridge.blueprint
magic-tower.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	5895	20	0.0	0	0	568411	6f40c2ed25d3e12f99c569a49555379bf17f28eb0a8f3bf50abcca53454f2d5c	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/magic-tower.blueprint
meadhall.blueprint	blueprint	Olivanderr	PLACES_WITH_GAPS	base	20213	181	0.01	1	0	2910107	dd32039e6f021334d60d78eece1b4034eff1a6ecf003090227c0442ecad44d7c	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/meadhall.blueprint
Portal11.vbuild	vbuild		PLACES_CLEAN	base	111	9	0.0	0	0	7110	00097089275fc2054d6cf23d31ec3bbbbf1e48c75f5a2d9c4a6c5974971b7982	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/Portal11.vbuild
Portal11.vbuild	vbuild		PLACES_CLEAN	base	111	9	0.0	0	0	7110	00097089275fc2054d6cf23d31ec3bbbbf1e48c75f5a2d9c4a6c5974971b7982	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Portal11.vbuild
Portal12.vbuild	vbuild		PLACES_CLEAN	base	66	7	0.0	0	0	3727	4de7deda6a07b1332eb4083e1977225f2318873f831da72d132ade352b665206	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/Portal12.vbuild
Portal12.vbuild	vbuild		PLACES_CLEAN	base	66	7	0.0	0	0	3727	4de7deda6a07b1332eb4083e1977225f2318873f831da72d132ade352b665206	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Portal12.vbuild
Portal13.vbuild	vbuild		PLACES_CLEAN	base	133	11	0.0	0	0	8405	30a255fa85b2083d50b9787d9d118361f4ba0e01995c486349e9865ca4852528	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/Portal13.vbuild
Portal13.vbuild	vbuild		PLACES_CLEAN	base	133	11	0.0	0	0	8405	30a255fa85b2083d50b9787d9d118361f4ba0e01995c486349e9865ca4852528	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Portal13.vbuild
Portal14.vbuild	vbuild		PLACES_CLEAN	base	161	10	0.0	0	0	9709	c34a06144a4967bffd849802111a5528211faf240f4b2b462bc1494a64e45f9a	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/Portal14.vbuild
Portal14.vbuild	vbuild		PLACES_CLEAN	base	161	10	0.0	0	0	9709	c34a06144a4967bffd849802111a5528211faf240f4b2b462bc1494a64e45f9a	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Portal14.vbuild
Portal15.vbuild	vbuild		PLACES_CLEAN	base	107	9	0.0	0	0	6214	1ac260b2cb5971a93d9ebc80555c1fff3e1329296f0a24fc4b72e814eb0c4d2a	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/Portal15.vbuild
Portal15.vbuild	vbuild		PLACES_CLEAN	base	107	9	0.0	0	0	6214	1ac260b2cb5971a93d9ebc80555c1fff3e1329296f0a24fc4b72e814eb0c4d2a	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/Portal15.vbuild
PuP_black_house_full.blueprint	blueprint	PuP	PLACES_CLEAN	base	6262	119	0.0	1	0	631532	0cdcee665b7e8f95d14d89850644e819b90ac0fe8f337ba6f085121292b98322	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_black_house_full.blueprint
PuP_black_house_light.blueprint	blueprint	PuP	PLACES_CLEAN	base	5398	97	0.0	1	0	549080	13d151e83fdbbe11fd7181b9e7d005f3a7291eadd4bf1b39e950e926c9587b91	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_black_house_light.blueprint
PuP_Bone-dragon.blueprint	blueprint	PuP	PLACES_CLEAN	base	926	27	0.0	15	0	105203	3472de9f2e94d8aabcb94e656b5c3aa5cb6cb3361fd2206fbf9fb4811233ba20	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_Bone-dragon.blueprint
PuP_Capitol.blueprint	blueprint	PuP	PLACES_CLEAN	base	2304	34	0.0	0	0	229877	14c34a0bf02c57d88746a370773a47a8c3883b23be71090d8d99c186db89b2d5	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_Capitol.blueprint
PuP_capitoliy.blueprint	blueprint	PuP	PLACES_CLEAN	base	5115	59	0.0	0	0	568958	b32bd850a3941269ebabc986417ef2377b39b3e5d7a59d3255f938241df8bed5	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_capitoliy.blueprint
PuP_forge1.blueprint	blueprint	PuP	PLACES_CLEAN	base	343	32	0.0	0	0	32337	02d12b1445127bdcfd9783936e4ef8c547d8d303e7b055aacd13f91f66ea1022	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_forge1.blueprint
PuP_house1.blueprint	blueprint	PuP	PLACES_CLEAN	base	238	26	0.0	0	0	24374	576fd5c19bf26e4db3dc276ff98dd9f5b956d95cbb9a6def3b133e23cde6e591	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house1.blueprint
PuP_house10.blueprint	blueprint	PuP	PLACES_CLEAN	base	225	26	0.0	0	0	21242	45cc03f7ff2ef13d7d4abae8d172fc2b1892ebfbe55d1ad535f0984975d3710c	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house10.blueprint
PuP_house11.blueprint	blueprint	PuP	PLACES_CLEAN	base	266	30	0.0	0	0	25132	8460b7e61ce330186a40eec9ba3e1306865e295a53881d80972fefcd8c5f2376	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house11.blueprint
PuP_house12.blueprint	blueprint	PuP	PLACES_CLEAN	base	216	25	0.0	0	0	20683	671e72fd4d7696ba0b87e545e56a7f9c0aebafb7834192efd9339ce38052af8f	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house12.blueprint
PuP_house13.blueprint	blueprint	PuP	PLACES_CLEAN	base	379	31	0.0	0	0	37639	e82a91835b4a71b8f8be2702cc3d672579a05dec90ec933c7abee4e4bd9f7d39	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house13.blueprint
PuP_house2.blueprint	blueprint	PuP	PLACES_CLEAN	base	302	23	0.0	0	0	31360	39220d65b622cc8ecc1650a87bf833f0ad60c23bbabe571aff04ca59f9aed93f	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house2.blueprint
PuP_house3.blueprint	blueprint	PuP	PLACES_CLEAN	base	201	23	0.0	0	0	18836	ab4faf7691c7b0dcb39dec3267a47dbbbec38fc6d0e6788d659c11303488b1ab	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house3.blueprint
PuP_house4.blueprint	blueprint	PuP	PLACES_CLEAN	base	178	24	0.0	0	0	16724	e3e6e42ac2b7c4977d7b8cdd5779bb2c0d633585822f4917d7cc481ba962df96	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house4.blueprint
PuP_house5.blueprint	blueprint	PuP	PLACES_CLEAN	base	291	33	0.0	0	0	29022	2134217de138bd5563b54aea2384a422e9e71a8e0c66294e9d65c66fecb51f22	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house5.blueprint
PuP_house6.blueprint	blueprint	PuP	PLACES_CLEAN	base	230	28	0.0	0	0	23743	bc5f107fed3c8d9589a67fd8f02291449bc79b833c10f2d6f274bcc5bc089218	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house6.blueprint
PuP_house7.blueprint	blueprint	PuP	PLACES_CLEAN	base	152	20	0.0	0	0	15229	24deeb4c8553dea2a5cfbe6bd891dd8bf78f95f46da47023d3547a2d77cf84db	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house7.blueprint
PuP_house8.blueprint	blueprint	PuP	PLACES_CLEAN	base	157	23	0.0	0	0	14970	6deaae408b0c28bfdc7b8afbe0f28b4391f689d2312eacee0d7196b7907df1bb	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house8.blueprint
PuP_house9.blueprint	blueprint	PuP	PLACES_CLEAN	base	167	20	0.0	0	0	16600	fc970d234b382812390f710a644af52f402040ec057cfdb7299b7aba3165a685	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_house9.blueprint
PuP_mag-tower.blueprint	blueprint	PuP	PLACES_CLEAN	base	2461	25	0.0	0	0	236869	eae8b106ed2bb2cb2aa7fbc7aa8ec551e5ad81e82445bd9ae298875b751f2925	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_mag-tower.blueprint
PuP_marketmarket.blueprint	blueprint	PuP	PLACES_WITH_GAPS	base	257	32	0.39	0	0	25414	d548bf12567f5c0e2d2093a77553a8af4d94ea5eaf078d868b2af81388ba7e33	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_marketmarket.blueprint
PuP_megaCastle.blueprint	blueprint	PuP	PLACES_CLEAN	exploit	25207	163	0.0	28	0	2927089	d929fd987a04508e34d90cc8ba8eeb1dfdf5da9684ee1233f5e0d6ef797da302	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/PuP_megaCastle.blueprint
